Sentence,Label
Terrible movie! The storyline was boring and poorly executed.,Frustrated
The app is user-friendly and works perfectly.,Joyful
Fantastic movie! The storyline was engaging and well-executed.,Joyful
Very satisfied with the results. Would buy again.,Joyful
The customer service was rude and unhelpful.,Frustrated
This is the kind of innovation that gets me truly excited.,Excited
"I'm so pumped about this new feature, it's revolutionary!",Excited
This event was thrilling and exceeded my expectations!,Excited
Fantastic movie! The storyline was engaging and well-executed.,Joyful
I am so happy with my purchase. Highly recommend it!,Joyful
Terrible movie! The storyline was boring and poorly executed.,Frustrated
"I expected much better, this was a huge letdown.",Disappointed
The customer service was excellent and very helpful.,Joyful
This service was a complete disappointment.,Frustrated
"Such a waste of time and money, very let down.",Disappointed
Terrible movie! The storyline was boring and poorly executed.,Frustrated
Poor quality and a waste of money.,Frustrated
"What an incredible opportunity, I'm beyond excited!",Excited
"The hype was not justified, I feel let down.",Disappointed
I hate this product. It's absolutely terrible.,Frustrated
"I'm so pumped about this new feature, it's revolutionary!",Excited
I regret my purchase. Do not recommend it!,Frustrated
I regret my purchase. Do not recommend it!,Frustrated
Fantastic movie! The storyline was engaging and well-executed.,Joyful
Very satisfied with the results. Would buy again.,Joyful
"This service has really gone downhill, very sad.",Disappointed
The thrill of using this is unmatched!,Excited
Incredible! The experience left me feeling so alive!,Excited
The customer service was rude and unhelpful.,Frustrated
"I'm so pumped about this new feature, it's revolutionary!",Excited
Very satisfied with the results. Would buy again.,Joyful
"Absolutely mind-blowing, I feel so energized!",Excited
"This service has really gone downhill, very sad.",Disappointed
Very dissatisfied with the results. Never buying again.,Frustrated
This is the kind of innovation that gets me truly excited.,Excited
I love this product! It's absolutely amazing.,Joyful
"Not what I hoped for, left feeling disappointed.",Disappointed
"Not what I hoped for, left feeling disappointed.",Disappointed
I love this product! It's absolutely amazing.,Joyful
The customer service was excellent and very helpful.,Joyful
This is the best experience I have had in a long time.,Joyful
"I'm really disappointed, I thought it would be much better.",Disappointed
This service was a complete disappointment.,Frustrated
Terrible movie! The storyline was boring and poorly executed.,Frustrated
The customer service was excellent and very helpful.,Joyful
"Absolutely mind-blowing, I feel so energized!",Excited
"I'm really disappointed, I thought it would be much better.",Disappointed
"A major disappointment, wouldn't recommend at all.",Disappointed
The customer service was rude and unhelpful.,Frustrated
This is the worst experience I have had in a long time.,Frustrated
"I expected much better, this was a huge letdown.",Disappointed
This service exceeded my expectations in every way.,Joyful
Very satisfied with the results. Would buy again.,Joyful
"The app is slow, buggy, and crashes frequently.",Frustrated
Terrible movie! The storyline was boring and poorly executed.,Frustrated
Very satisfied with the results. Would buy again.,Joyful
Poor quality and a waste of money.,Frustrated
"Such a waste of time and money, very let down.",Disappointed
"Such a waste of time and money, very let down.",Disappointed
I am so happy with my purchase. Highly recommend it!,Joyful
I regret my purchase. Do not recommend it!,Frustrated
Terrible movie! The storyline was boring and poorly executed.,Frustrated
I love this product! It's absolutely amazing.,Joyful
"Not what I hoped for, left feeling disappointed.",Disappointed
"The app is slow, buggy, and crashes frequently.",Frustrated
I regret my purchase. Do not recommend it!,Frustrated
"I'm really disappointed, I thought it would be much better.",Disappointed
This is the kind of innovation that gets me truly excited.,Excited
"The hype was not justified, I feel let down.",Disappointed
Very satisfied with the results. Would buy again.,Joyful
This service was a complete disappointment.,Frustrated
Great quality and fantastic value for money.,Joyful
"Absolutely mind-blowing, I feel so energized!",Excited
The thrill of using this is unmatched!,Excited
Incredible! The experience left me feeling so alive!,Excited
I was on the edge of my seat the whole time!,Excited
This is the best experience I have had in a long time.,Joyful
This left me feeling extremely unsatisfied.,Disappointed
"The hype was not justified, I feel let down.",Disappointed
"I expected much better, this was a huge letdown.",Disappointed
"The hype was not justified, I feel let down.",Disappointed
I am so happy with my purchase. Highly recommend it!,Joyful
"This service has really gone downhill, very sad.",Disappointed
"I'm so pumped about this new feature, it's revolutionary!",Excited
I regret my purchase. Do not recommend it!,Frustrated
"The hype was not justified, I feel let down.",Disappointed
"A major disappointment, wouldn't recommend at all.",Disappointed
I love this product! It's absolutely amazing.,Joyful
"A major disappointment, wouldn't recommend at all.",Disappointed
This is the worst experience I have had in a long time.,Frustrated
This event was thrilling and exceeded my expectations!,Excited
The customer service was excellent and very helpful.,Joyful
"Fell short in every way, I wouldn't use it again.",Disappointed
"I can't wait to use this again, it's so good!",Excited
Poor quality and a waste of money.,Frustrated
I had a wonderful time at the restaurant. The food was delicious!,Joyful
I regret my purchase. Do not recommend it!,Frustrated
The customer service was rude and unhelpful.,Frustrated
"Fell short in every way, I wouldn't use it again.",Disappointed
I was on the edge of my seat the whole time!,Excited
